,Unnamed: 0,time,lat,lon,spei
18755474,73282170,1924-07-16,40.25,105.25,0.15686606
18821930,73541370,1924-08-16,40.25,105.25,0.08974471
18888368,73800570,1924-09-16,40.25,105.25,-0.060934734
18954801,74059770,1924-10-16,40.25,105.25,0.31105426
19021229,74318970,1924-11-16,40.25,105.25,0.52804136
19087633,74578170,1924-12-16,40.25,105.25,0.019844448
19153941,74837370,1925-01-16,40.25,105.25,0.5050566
19220266,75096570,1925-02-15,40.25,105.25,0.32838735
19286557,75355770,1925-03-16,40.25,105.25,0.28094673
19352908,75614970,1925-04-16,40.25,105.25,0.33288613
19419337,75874170,1925-05-16,40.25,105.25,0.123511344
19485747,76133370,1925-06-16,40.25,105.25,0.06784786
19552182,76392570,1925-07-16,40.25,105.25,0.15686606
19618635,76651770,1925-08-16,40.25,105.25,0.10673819
19685073,76910970,1925-09-16,40.25,105.25,-0.049972296
19751506,77170170,1925-10-16,40.25,105.25,0.2300687
19817932,77429370,1925-11-16,40.25,105.25,0.47512898
19884332,77688570,1925-12-16,40.25,105.25,-1.0517459999999998
19950631,77947770,1926-01-16,40.25,105.25,0.39432535
20016955,78206970,1926-02-15,40.25,105.25,-0.8811704
20083247,78466170,1926-03-16,40.25,105.25,0.15943791
20149598,78725370,1926-04-16,40.25,105.25,0.24444498
20216027,78984570,1926-05-16,40.25,105.25,0.123511344
20282445,79243770,1926-06-16,40.25,105.25,0.03619971
20348878,79502970,1926-07-16,40.25,105.25,0.14314061
20415330,79762170,1926-08-16,40.25,105.25,0.08406106
20481724,80021370,1926-09-16,40.25,105.25,-0.060934734
20548157,80280570,1926-10-16,40.25,105.25,0.25734848
20614584,80539770,1926-11-16,40.25,105.25,0.5789297
20680988,80798970,1926-12-16,40.25,105.25,1.0692378
20747295,81058170,1927-01-16,40.25,105.25,0.60783064
20813618,81317370,1927-02-15,40.25,105.25,0.32838735
20879910,81576570,1927-03-16,40.25,105.25,0.39612338
20946261,81835770,1927-04-16,40.25,105.25,0.37571737
21012690,82094970,1927-05-16,40.25,105.25,0.1395504
21079111,82354170,1927-06-16,40.25,105.25,0.03619971
21145545,82613370,1927-07-16,40.25,105.25,0.15686606
21211993,82872570,1927-08-16,40.25,105.25,0.10673819
21278431,83131770,1927-09-16,40.25,105.25,-0.08300774
21344861,83390970,1927-10-16,40.25,105.25,0.25734848
21411289,83650170,1927-11-16,40.25,105.25,0.47512898
21477688,83909370,1927-12-16,40.25,105.25,1.0692378
21543995,84168570,1928-01-16,40.25,105.25,0.60783064
21610320,84427770,1928-02-15,40.25,105.25,-0.31788698
21676612,84686970,1928-03-16,40.25,105.25,0.15943791
21742952,84946170,1928-04-16,40.25,105.25,0.22174543
21809379,85205370,1928-05-16,40.25,105.25,0.1073479
21875801,85464570,1928-06-16,40.25,105.25,0.06784786
21942188,85723770,1928-07-16,40.25,105.25,0.13626081
22008632,85982970,1928-08-16,40.25,105.25,0.08974471
22075004,86242170,1928-09-16,40.25,105.25,-0.049972296
22141437,86501370,1928-10-16,40.25,105.25,0.28434354
22207862,86760570,1928-11-16,40.25,105.25,0.62790304
22274266,87019770,1928-12-16,40.25,105.25,1.9028714
22340575,87278970,1929-01-16,40.25,105.25,0.7034109000000001
22406899,87538170,1929-02-15,40.25,105.25,1.6481715
22473191,87797370,1929-03-16,40.25,105.25,0.09625682
22539541,88056570,1929-04-16,40.25,105.25,0.26690713
22605963,88315770,1929-05-16,40.25,105.25,0.123511344
22672384,88574970,1929-06-16,40.25,105.25,0.06784786
22738817,88834170,1929-07-16,40.25,105.25,0.17054565
22805264,89093370,1929-08-16,40.25,105.25,0.1010833
22871701,89352570,1929-09-16,40.25,105.25,-0.060934734
22938132,89611770,1929-10-16,40.25,105.25,0.28434354
23004538,89870970,1929-11-16,40.25,105.25,0.52804136
23070941,90130170,1929-12-16,40.25,105.25,1.9028714
23137250,90389370,1930-01-16,40.25,105.25,0.5050566
23203574,90648570,1930-02-15,40.25,105.25,1.0019507
23269866,90907770,1930-03-16,40.25,105.25,0.39612338
23336212,91166970,1930-04-16,40.25,105.25,0.35441595
23402641,91426170,1930-05-16,40.25,105.25,0.1073479
23469062,91685370,1930-06-16,40.25,105.25,0.05205316
23535494,91944570,1930-07-16,40.25,105.25,0.14314061
23601950,92203770,1930-08-16,40.25,105.25,0.08406106
23668387,92462970,1930-09-16,40.25,105.25,-0.07194652
23734820,92722170,1930-10-16,40.25,105.25,0.25734848
23801244,92981370,1930-11-16,40.25,105.25,0.5789297
23867645,93240570,1930-12-16,40.25,105.25,1.0692378
23933952,93499770,1931-01-16,40.25,105.25,0.60783064
24000277,93758970,1931-02-15,40.25,105.25,1.0019507
24066569,94018170,1931-03-16,40.25,105.25,0.031439703
24132918,94277370,1931-04-16,40.25,105.25,0.31112593
24199347,94536570,1931-05-16,40.25,105.25,0.1395504
24265769,94795770,1931-06-16,40.25,105.25,0.08358316
24332161,95054970,1931-07-16,40.25,105.25,0.15686606
24398611,95314170,1931-08-16,40.25,105.25,0.08974471
